make,model,ModelTypeText,model_variant,color,carType,Ccm,city,Co2EmissionText,ConsumptionRatingText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Km,Properties,Seats,TransmissionTypeText,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
MERCEDES-BENZ,SL 500,SL 500,SL 500,Red,Cabriolet,4971,Zuzwil,null,null,2,Hinterradantrieb,4,1993,Benzin,117900,"\"Ab MFK\"",2,Automat,null,""
Renault,CLIO,CLIO Rennwagen,Rennwagen,Red,Limousine,0,Zuzwil,null,null,0,Vorderradantrieb,2,2000,null,99,null,0,Schaltgetriebe,null,""
Renault,ALPINE,ALPINE V6,V6,Red,Coupé,2663,Zuzwil,null,null,2,Hinterradantrieb,11,1982,Benzin,82400,"\"Ab MFK\"",4,Schaltgetriebe,null,""
Porsche,911,911 GT3 CS,GT3 CS,Red,Coupé,3600,Zuzwil,null,null,2,null,1,2001,Benzin,21100,"\"Ab MFK\"",2,null,null,""
Lincoln,Navigator,Navigator 32 V,32 V,Blue,SUV / Geländewagen,5403,Zuzwil,null,null,5,null,3,2003,Benzin,130000,"\"Ab MFK\"",7,Automatik-Getriebe,null,""
Ferrari,575M,575M,575M,Red,Coupé,5748,Zuzwil,499 g/km,G,2,Hinterradantrieb,1,2004,Benzin,28000,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe,21.8,l/100km
MERCEDES-BENZ,SL 65 AMG,SL 65 AMG BLACK SERIES,BLACK SERIES,Red,Coupé,5980,Zuzwil,null,null,2,Hinterradantrieb,4,2012,Benzin,43000,"\"Ab MFK\"",2,Automatik-Getriebe,null,""
Porsche,911,911 Turbo,911 Turbo,Red,Coupé,3600,Zuzwil,309 g/km,null,2,Allrad,1,2002,Benzin,29000,"\"Ab MFK\"",4,Automatik-Getriebe,12.9,l/100km
MERCEDES-BENZ,E 420,E 420 Avantgarde,E 420 Avantgarde,Red,Limousine,4196,Zuzwil,326 g/km,null,4,Hinterradantrieb,5,1996,Benzin,132600,"\"Ab MFK\"",5,Automat,14.3,l/100km
Audi,A8,A8 4.2 quattro,A8 4.2 quattro,Red,Limousine,4172,Zuzwil,322 g/km,null,4,Allrad,1,1999,Benzin,69900,"\"Ab MFK\"",5,Automat,13.5,l/100km
Ferrari,F430,F430,F430,Red,Coupé,4308,Zuzwil,420 g/km,G,2,Hinterradantrieb,3,2006,Benzin,4400,"\"Ab MFK\"",2,Automatik-Getriebe,18.3,l/100km
Dodge,"",B 200,B 200,Red,Kompaktvan / Minivan,5893,Zuzwil,null,null,0,Hinterradantrieb,7,1979,Benzin,13800,"\"Ab MFK\"",7,Automat,null,""
Audi,RS6,RS6 Avant 5.0 V10 quattro,RS6 Avant 5.0 V10 quattro,Red,Kombi,4991,Zuzwil,333 g/km,G,5,Allrad,9,2010,Benzin,38000,"\"Ab MFK\"",5,Automat,14.0,l/100km
BMW,M3,M3,M3,Red,Coupé,3246,Zuzwil,323 g/km,G,2,Hinterradantrieb,9,2001,Benzin,127800,"\"Ab MFK\"",5,Schaltgetriebe manuell,13.4,l/100km
Audi,A6,A6 Avant 2.7 T Ambition,A6 Avant 2.7 T Ambition,Red,Kombi,2671,Zuzwil,254 g/km,null,5,Vorderradantrieb,9,2000,Benzin,45000,"\"Ab MFK\", \"Tuning\"",5,Schaltgetriebe manuell,10.6,l/100km
Porsche,CAYENNE,Cayenne Turbo Techart Magnum Kit,Cayenne Turbo Techart Magnum Kit,Other,SUV / Geländewagen,4806,Zuzwil,270 g/km,G,5,Allrad,1,2010,Benzin,2900,"\"Ab MFK\"",5,Automat sequentiell,11.5,l/100km
Audi,RS6,RS6 Avant quattro,RS6 Avant quattro,Blue,Kombi,4172,Zuzwil,350 g/km,G,5,Allrad,5,2003,Benzin,43400,"\"Ab MFK\"",5,Automat sequentiell,14.6,l/100km
Jaguar,S-TYPE,S-Type 4.0 V8,S-Type 4.0 V8,Red,Limousine,3996,Zuzwil,299 g/km,G,4,Hinterradantrieb,1,2000,Benzin,44200,"\"Ab MFK\"",5,Automat,12.5,l/100km
Porsche,911,911 Turbo S,911 Turbo S,Red,Coupé,3800,Zuzwil,227 g/km,G,2,Allrad,1,2015,Benzin,100,"\"Ab MFK\"",4,Automatisiertes Schaltgetriebe,9.7,l/100km
Toyota,"",1000 / Publica,1000 / Publica,Red,Limousine,993,Zuzwil,null,null,2,Hinterradantrieb,5,1977,Benzin,78000,"\"Ab MFK\"",5,Schaltgetriebe manuell,null,""
Audi,A8,A8 4.2 quattro,A8 4.2 quattro,Red,Limousine,4172,Zuzwil,null,null,4,Allrad,9,1997,Benzin,33800,"\"Ab MFK\"",5,Automat sequentiell,13.2,l/100km
Jaguar,XK,XKR S/C Convertible,XKR S/C Convertible,Red,Cabriolet,3996,Zuzwil,305 g/km,G,2,Hinterradantrieb,4,2002,Benzin,77600,"\"Ab MFK\"",4,Automat,12.7,l/100km
Audi,A4,A4 Avant 2.8 q.Ambition,A4 Avant 2.8 q.Ambition,Red,Kombi,2771,Zuzwil,null,null,5,Allrad,4,1998,Benzin,196300,"\"Ab MFK\"",5,Automatik-Getriebe,10.4,l/100km
MERCEDES-BENZ,E 50 AMG,E 50 AMG Avantgarde,E 50 AMG Avantgarde,Red,Limousine,4973,Zuzwil,null,null,4,Hinterradantrieb,11,1996,Benzin,33700,"\"Ab MFK\"",5,Automat,13.5,l/100km
BMW,X5,X5 4.8is,X5 4.8is,Red,SUV / Geländewagen,4799,Zuzwil,324 g/km,G,5,Allrad,8,2004,Benzin,61900,"\"Ab MFK\"",5,Automat sequentiell,13.5,l/100km
Audi,RS6,RS6 Avant quattro,RS6 Avant quattro,Red,Kombi,4172,Zuzwil,350 g/km,G,5,Allrad,9,2002,Benzin,71900,"\"Ab MFK\"",5,Automat sequentiell,14.6,l/100km
BMW,135,135i,135i,Black,Cabriolet,2979,Zuzwil,225 g/km,G,2,Hinterradantrieb,10,2008,Benzin,25700,"\"Ab MFK\"",4,Automat sequentiell,9.4,l/100km
Ferrari,456,456M GT,456M GT,Blue,Coupé,5474,Zuzwil,495 g/km,G,2,Hinterradantrieb,3,2000,Benzin,46500,"\"Ab MFK\"",4,Schaltgetriebe manuell,22.0,l/100km
MERCEDES-BENZ,CLK 55 AMG,CLK 55 AMG Avantgarde,CLK 55 AMG Avantgarde,Black,Cabriolet,5439,Zuzwil,295 g/km,G,2,Hinterradantrieb,2,2003,Benzin,92300,"\"Ab MFK\", \"Direkt-/Parallelimport\"",4,Automat,12.3,l/100km
MERCEDES-BENZ,SL 55 AMG,SL 55 AMG,SL 55 AMG,Black,Cabriolet,5439,Zuzwil,340 g/km,G,2,Hinterradantrieb,7,2003,Benzin,43300,"\"Ab MFK\"",2,Automat,14.2,l/100km
MERCEDES-BENZ,S 600,S 600,S 600,Black,Coupé,5984,Zuzwil,null,null,2,Hinterradantrieb,6,1995,Benzin,62000,"\"Ab MFK\"",4,Automat,null,""
Renault,ALPINE,ALPINE 2700VA,2700VA,Black,Coupé,0,Zuzwil,null,null,2,Hinterradantrieb,8,1979,Benzin,36900,"\"Ab MFK\"",4,Schaltgetriebe,null,""
Nissan,SUNNY,SUNNY 2.0 16V GTI-R Rallye,2.0 16V GTI-R Rallye,Black,Limousine,1997,Zuzwil,null,null,3,Allrad,1,1992,null,98000,"\"Ab MFK\"",0,Schaltgetriebe,null,""
Alfa Romeo,GTV,GTV 2000 Bertone,2000 Bertone,Black,Coupé,1961,Zuzwil,null,null,2,Hinterradantrieb,2,1972,Benzin,18400,null,4,Schaltgetriebe,null,""
MERCEDES-BENZ,SL 500,SL 500,SL 500,Black,Cabriolet,4971,Zuzwil,null,null,2,Hinterradantrieb,9,1991,Benzin,55300,"\"Ab MFK\"",2,Automat,null,""
Lamborghini,GALLARDO,Gallardo LP570-4 Coupé SL,Gallardo LP570-4 Coupé SL,Black,Coupé,5204,Zuzwil,325 g/km,G,2,Allrad,1,2011,Benzin,19300,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe,13.7,l/100km
Seat,IBIZA,Ibiza 1.9 TDI FR,Ibiza 1.9 TDI FR,Black,Kleinwagen,1896,Zuzwil,138 g/km,D,3,Vorderradantrieb,8,2005,Diesel,132200,"\"Ab MFK\"",5,Schaltgetriebe manuell,5.1,l/100km
Volvo,S40,S40 2.0 T,S40 2.0 T,Black,Limousine,1948,Zuzwil,236 g/km,null,4,Vorderradantrieb,5,1999,Benzin,107000,"\"Ab MFK\"",5,Automat,9.9,l/100km
MERCEDES-BENZ,CLS 500,CLS 500,CLS 500,Blue,Limousine,4966,Zuzwil,290 g/km,G,4,Hinterradantrieb,12,2004,Benzin,51000,"\"Ab MFK\"",4,Automat sequentiell,12.1,l/100km
Audi,R8,R8 Spyder 5.2,R8 Spyder 5.2,Black,Cabriolet,5204,Zuzwil,332 g/km,G,2,Allrad,4,2010,Benzin,37000,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe,14.2,l/100km
MERCEDES-BENZ,500,500 SE,500 SE,Black,Limousine,4971,Zuzwil,null,null,4,Hinterradantrieb,7,1991,Benzin,156300,"\"Ab MFK\"",5,Automat,null,""
Jeep,Grand Cherokee,Grand Cherokee 5.2 Ltd.,Grand Cherokee 5.2 Ltd.,Black,SUV / Geländewagen,5213,Zuzwil,null,null,5,Allrad,2,1995,Benzin,133500,"\"Ab MFK\"",5,Automat,null,""
Ferrari,F355,F355 Spider,F355 Spider,Black,Cabriolet,3496,Zuzwil,470 g/km,null,2,Hinterradantrieb,7,1998,Benzin,34600,"\"Ab MFK\"",2,Schaltgetriebe manuell,20.8,l/100km
Audi,S6,S6 Avant quattro 4.2,S6 Avant quattro 4.2,Black,Kombi,4170,Zuzwil,353 g/km,null,5,Allrad,6,1997,Benzin,91900,"\"Ab MFK\"",5,Automat,14.9,l/100km
BMW,M5,M5,M5,Black,Limousine,4395,Zuzwil,231 g/km,G,4,Hinterradantrieb,9,2013,Benzin,15300,"\"Ab MFK\"",5,Automatisiertes Schaltgetriebe,9.9,l/100km
Lamborghini,GALLARDO,Gallardo LP560-4 Coupé,Gallardo LP560-4 Coupé,Black,Coupé,5204,Zuzwil,325 g/km,G,2,Allrad,6,2008,Benzin,28500,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe,13.7,l/100km
MERCEDES-BENZ,SL 600,SL 600,SL 600,Black,Cabriolet,5513,Zuzwil,346 g/km,G,2,Hinterradantrieb,6,2003,Benzin,45300,"\"Ab MFK\"",2,Automat,14.4,l/100km
MERCEDES-BENZ,C 180,C 180 Esprit,C 180 Esprit,Black,Limousine,1799,Zuzwil,218 g/km,null,4,Hinterradantrieb,11,1997,Benzin,118200,"\"Ab MFK\"",5,Schaltgetriebe manuell,9.2,l/100km
Lamborghini,MURCIÉLAGO,Murciélago 6.2 Coupé,Murciélago 6.2 Coupé,Black,Coupé,6192,Zuzwil,500 g/km,G,2,Allrad,7,2005,Benzin,49800,"\"Ab MFK\", \"Tuning\"",2,Automatisiertes Schaltgetriebe,21.5,l/100km
MERCEDES-BENZ,"",SL 250 Pagode,SL 250 Pagode,Blue,Cabriolet,2496,Zuzwil,null,null,2,Hinterradantrieb,1,1967,Benzin,47700,"\"Ab MFK\"",2,Schaltgetriebe,null,""
Lamborghini,MURCIÉLAGO,Murciélago LP640-4 Cpé,Murciélago LP640-4 Cpé,Black,Coupé,6496,Porrentruy,495 g/km,G,2,Allrad,4,2011,Benzin,7890,"\"Ab MFK\"",2,Schaltgetriebe manuell,21.3,l/100km
BMW,X5,X5 4.4i,X5 4.4i,Black,SUV / Geländewagen,4398,Zuzwil,335 g/km,G,5,Allrad,5,2003,Benzin,66800,"\"Ab MFK\"",5,Automat sequentiell,13.9,l/100km
Audi,S8,S8 4.2 quattro,S8 4.2 quattro,Black,Limousine,4172,Zuzwil,331 g/km,null,4,Allrad,3,2001,Benzin,49300,"\"Ab MFK\"",5,Automatik-Getriebe,13.8,l/100km
MERCEDES-BENZ,E 500,E 500 Avantgarde,E 500 Avantgarde,Black,Kombi,4966,Zuzwil,284 g/km,G,5,Hinterradantrieb,4,2004,Benzin,123300,"\"Ab MFK\"",5,Automat sequentiell,11.9,l/100km
BMW,750,750iL,750iL,Black,Limousine,5377,Zuzwil,338 g/km,null,4,Hinterradantrieb,1,1995,Benzin,111900,"\"Ab MFK\"",5,Automat,14.2,l/100km
BMW,330,330Ci,330Ci,Black,Cabriolet,2979,Zuzwil,237 g/km,G,2,Hinterradantrieb,5,2001,Benzin,65300,"\"Ab MFK\"",4,Schaltgetriebe manuell,9.9,l/100km
BMW,320,320i Touring,320i Touring,Black,Kombi,1990,Zuzwil,215 g/km,null,5,Hinterradantrieb,1,1996,Benzin,79800,"\"Ab MFK\"",5,Schaltgetriebe manuell,9.0,l/100km
Renault,"",DAUPHINE GORDINI,DAUPHINE GORDINI,Black,Limousine,845,Zuzwil,null,null,4,Hinterradantrieb,7,1960,Benzin,177000,"\"Ab MFK\"",5,Schaltgetriebe,null,""
BMW,525,525xi,525xi,Black,Limousine,2497,Zuzwil,232 g/km,G,4,Allrad,1,2007,Benzin,99800,"\"Ab MFK\"",5,Schaltgetriebe manuell,9.6,l/100km
ROLLS-ROYCE,CORNICHE,CORNICHE II Coupé,II Coupé,Black,Coupé,0,Basel,null,null,0,null,7,1980,Benzin,32000,null,4,null,null,""
Land Rover,RANGE ROVER SPORT,Range Rover Sport 4.2 V8 SC,Range Rover Sport 4.2 V8 SC,Blue,SUV / Geländewagen,4197,Zuzwil,374 g/km,G,5,Allrad,6,2006,Benzin,49900,null,5,Automat,15.9,l/100km
Ferrari,F40 / F50,F40 / F50,null,Black,Coupé,2935,Sursee,null,null,2,Hinterradantrieb,2,1989,null,7000,null,2,Schaltgetriebe,null,""
Renault,Alpine A110,Alpine A110 1600 S,1600 S,Black,Coupé,1605,Zuzwil,null,null,2,Hinterradantrieb,2,1972,Benzin,68000,"\"Ab MFK\"",2,Schaltgetriebe,null,""
MERCEDES-BENZ,CLS 63 AMG,CLS 63 AMG,CLS 63 AMG,Black,Limousine,5461,Zuzwil,231 g/km,G,4,Hinterradantrieb,9,2011,Benzin,69200,"\"Ab MFK\"",4,Automatisiertes Schaltgetriebe,9.9,l/100km
BMW,M3,M3,M3,Black,Limousine,2301,Zuzwil,null,null,2,Hinterradantrieb,10,1987,Benzin,88000,null,4,Schaltgetriebe manuell,null,""
MERCEDES-BENZ,CL 600,CL 600,CL 600,Black,Coupé,5513,Zuzwil,353 g/km,G,2,Hinterradantrieb,11,2003,Benzin,41100,"\"Ab MFK\"",4,Automat,14.7,l/100km
Daimler,V8,V8 4.0,V8 4.0,Black,Limousine,3996,Zuzwil,285 g/km,G,4,Hinterradantrieb,5,1998,Benzin,100,"\"Ab MFK\"",5,Automat,11.9,l/100km
BMW,530,530i Touring,530i Touring,Black,Kombi,2979,Zuzwil,238 g/km,null,5,Hinterradantrieb,5,2001,Benzin,120900,"\"Ab MFK\"",5,Automatik-Getriebe,9.9,l/100km
BMW,528,528i Touring,528i Touring,Black,Kombi,2793,Zuzwil,230 g/km,G,5,Hinterradantrieb,4,1997,Benzin,38000,"\"Ab MFK\"",5,Schaltgetriebe manuell,9.7,l/100km
Ferrari,456,456M GTA,456M GTA,Black,Coupé,5474,Zuzwil,520 g/km,G,2,Hinterradantrieb,12,1999,Benzin,18200,"\"Ab MFK\"",4,Automat,22.3,l/100km
Bentley,CONTINENTAL,Continental R Coupé,Continental R Coupé,Black,Coupé,6749,Zuzwil,null,null,2,Hinterradantrieb,1,1994,Benzin,60000,"\"Ab MFK\"",4,Automat,null,""
Lamborghini,MURCIÉLAGO,Murciélago LP640-4 Cpé,Murciélago LP640-4 Cpé,Blue,Coupé,6496,Zuzwil,495 g/km,G,2,Allrad,3,2007,Benzin,33000,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe,21.3,l/100km
MERCEDES-BENZ,SL 500,SL 500,SL 500,Black,Cabriolet,4971,Zuzwil,null,null,2,Hinterradantrieb,2,1992,Benzin,129700,"\"Ab MFK\"",0,Automat,null,""
Renault,ALPINE,ALPINE V6,V6,Black,Coupé,2663,Zuzwil,null,null,2,null,8,1983,Benzin,128500,"\"Ab MFK\"",4,Schaltgetriebe,null,""
Ford,SIERRA,Sierra 2.0i Cosworth 4x4,Sierra 2.0i Cosworth 4x4,Black,Limousine,1993,Zuzwil,null,null,4,Allrad,9,1990,Benzin,164400,"\"Ab MFK\"",5,Schaltgetriebe manuell,null,""
Audi,RS4,RS4 Avant 4.2 V8 quattro,RS4 Avant 4.2 V8 quattro,Black,Kombi,4163,Zuzwil,326 g/km,G,5,Allrad,8,2006,Benzin,117400,"\"Ab MFK\"",5,Schaltgetriebe manuell,13.6,l/100km
Porsche,911,911 Carrera Jubilé 40,911 Carrera Jubilé 40,Black,Coupé,3596,Zuzwil,274 g/km,G,2,Hinterradantrieb,3,2004,Benzin,61400,"\"Ab MFK\"",4,Schaltgetriebe manuell,11.3,l/100km
VW,PHAETON,Phaeton 6.0 W12 4Motion,Phaeton 6.0 W12 4Motion,Black,Limousine,5998,Zuzwil,374 g/km,G,4,Allrad,11,2002,Benzin,15900,"\"Ab MFK\"",5,Automat sequentiell,15.6,l/100km
MERCEDES-BENZ,SL 320,SL 320,SL 320,Black,Cabriolet,3199,Zuzwil,317 g/km,null,2,Hinterradantrieb,1,1999,Benzin,70900,"\"Ab MFK\"",2,Automat,13.4,l/100km
Porsche,911,911 GT3 RS,911 GT3 RS,Black,Coupé,3996,Sursee,326 g/km,G,2,Hinterradantrieb,11,2011,Benzin,6300,null,2,Schaltgetriebe manuell,13.8,l/100km
MERCEDES-BENZ,E 63 AMG,E 63 AMG,E 63 AMG,Black,Limousine,6209,Zuzwil,295 g/km,G,4,Hinterradantrieb,3,2010,Benzin,7400,"\"Ab MFK\"",5,Automat sequentiell,12.6,l/100km
Porsche,911,911 Carrera 4,911 Carrera 4,Black,Coupé,3387,Zuzwil,null,null,2,Allrad,5,1999,Benzin,77800,"\"Ab MFK\"",4,Automatik-Getriebe,11.8,l/100km
Audi,RS4,RS4 Avant quattro,RS4 Avant quattro,Blue,Kombi,2671,Zuzwil,288 g/km,G,5,Allrad,3,2001,Benzin,50000,"\"Ab MFK\"",5,Schaltgetriebe manuell,12.0,l/100km
MERCEDES-BENZ,SL 600,SL 600,SL 600,Black,Cabriolet,5984,Zuzwil,null,null,2,Hinterradantrieb,9,1995,Benzin,75200,"\"Ab MFK\"",0,Automat,null,""
BMW,540,540i,540i,Black,Limousine,4398,Zuzwil,292 g/km,null,4,Hinterradantrieb,11,1998,Benzin,93000,"\"Ab MFK\"",5,Automatik-Getriebe,12.1,l/100km
Trabant,"",1300S Trabusa,1300S Trabusa,Black,Limousine,1299,Zuzwil,null,null,0,Hinterradantrieb,1,2009,Benzin,999,"\"Rennwagen\"",0,Schaltgetriebe,null,""
Seat,LEON,Leon 2.0 TSI FR,Leon 2.0 TSI FR,Black,Limousine,1984,Zuzwil,190 g/km,G,5,Vorderradantrieb,1,2009,Benzin,53300,"\"Ab MFK\"",5,Schaltgetriebe manuell,7.9,l/100km
Jaguar,E,E E-Type III,E-Type III,Black,Cabriolet,5343,Zuzwil,null,null,2,Hinterradantrieb,3,1974,Benzin,49200,"\"Ab MFK\"",2,Automat,null,""
Lamborghini,AVENTADOR,Aventador LP700-4 Rds,Aventador LP700-4 Rds,Black,Cabriolet,6498,Zuzwil,370 g/km,G,2,Allrad,3,2015,Benzin,90,"\"Ab MFK\", \"Direkt-/Parallelimport\"",2,Automatisiertes Schaltgetriebe,16.0,l/100km
MERCEDES-BENZ,S 55 AMG,S 55 AMG,S 55 AMG,Black,Limousine,5439,Zuzwil,317 g/km,G,4,Hinterradantrieb,3,2003,Benzin,121900,"\"Ab MFK\"",5,Automat,13.2,l/100km
BMW,X5,X5 4.4i,X5 4.4i,Black,SUV / Geländewagen,4398,Zuzwil,335 g/km,G,5,Allrad,12,2000,Benzin,3600,"\"Ab MFK\"",5,Automat sequentiell,13.9,l/100km
Maserati,QUATTROPORTE,Quattroporte 4.2,Quattroporte 4.2,Black,Limousine,4244,Zuzwil,null,G,4,Hinterradantrieb,7,2004,Benzin,56600,"\"Ab MFK\"",5,Automatisiertes Schaltgetriebe,15.8,l/100km
Audi,RS6,RS6 Avant quattro,RS6 Avant quattro,Black,Kombi,4172,Zuzwil,350 g/km,G,5,Allrad,10,2003,Benzin,40900,"\"Ab MFK\"",5,Automat sequentiell,14.6,l/100km
Renault,ALPINE,Alpine A310 V6,Alpine A310 V6,Blue,Coupé,2664,Zuzwil,null,null,2,Hinterradantrieb,4,1980,Benzin,108000,"\"Ab MFK\"",4,Schaltgetriebe manuell,null,""
Audi,RS6,RS6 Avant 5.0 V10 quattro,RS6 Avant 5.0 V10 quattro,Black,Kombi,4991,Zuzwil,333 g/km,G,5,Allrad,3,2009,Benzin,29500,"\"Ab MFK\"",5,Automat,14.0,l/100km
Porsche,CAYENNE,Cayenne Turbo,Cayenne Turbo,Black,SUV / Geländewagen,4511,Zuzwil,378 g/km,G,5,Allrad,8,2003,Benzin,114000,"\"Ab MFK\"",5,Automat sequentiell,15.7,l/100km
BMW,760,760i L,760i L,Black,Limousine,5972,Zuzwil,330 g/km,G,4,Hinterradantrieb,1,2003,Benzin,94500,"\"Ab MFK\"",5,Automat sequentiell,13.6,l/100km
MERCEDES-BENZ,B 200,B 200 T Sailing Edition,B 200 T Sailing Edition,Black,Kompaktvan / Minivan,2035,Zuzwil,195 g/km,G,5,Vorderradantrieb,8,2006,Benzin,60500,"\"Ab MFK\"",5,Schaltgetriebe manuell,8.1,l/100km
Maserati,QUATTROPORTE,Quattroporte 4.2,Quattroporte 4.2,Black,Limousine,4244,Zuzwil,370 g/km,G,4,Hinterradantrieb,12,2006,Benzin,9800,"\"Ab MFK\"",5,Automatisiertes Schaltgetriebe,15.8,l/100km
BMW,335,335i,335i,Black,Cabriolet,2979,Zuzwil,238 g/km,G,2,Hinterradantrieb,7,2007,Benzin,77500,"\"Ab MFK\"",4,Schaltgetriebe manuell,9.9,l/100km
MERCEDES-BENZ,SLK 55 AMG,SLK 55 AMG,SLK 55 AMG,Black,Cabriolet,5439,Zuzwil,288 g/km,G,2,Hinterradantrieb,4,2005,Benzin,42500,"\"Ab MFK\"",2,Automat sequentiell,12.0,l/100km
Porsche,CAYENNE,Cayenne Turbo,Cayenne Turbo,Black,SUV / Geländewagen,4511,Zuzwil,378 g/km,G,5,Allrad,10,2005,Benzin,64500,"\"Ab MFK\"",5,Automat sequentiell,15.7,l/100km
Bentley,ARNAGE,Arnage Red Label,Arnage Red Label,Black,Limousine,6761,Zuzwil,456 g/km,G,4,Hinterradantrieb,2,2000,Benzin,111600,"\"Ab MFK\"",5,Automat,19.2,l/100km
Audi,TT,TTS Cpé 2.0 TFSI quattro,TTS Cpé 2.0 TFSI quattro,Black,Coupé,1984,Zuzwil,188 g/km,G,3,Allrad,8,2008,Benzin,29300,"\"Ab MFK\", \"Tuning\"",4,Automatisiertes Schaltgetriebe,7.9,l/100km
MERCEDES-BENZ,SL 600,SL 600,SL 600,Blue,Cabriolet,5513,Zuzwil,346 g/km,G,2,Hinterradantrieb,6,2003,Benzin,77700,"\"Ab MFK\"",2,Automat,14.4,l/100km
MERCEDES-BENZ,CL 600,CL 600,CL 600,Black,Coupé,5786,Zuzwil,321 g/km,G,2,Hinterradantrieb,6,2000,Benzin,103800,"\"Ab MFK\"",4,Automat,13.4,l/100km
Renault,R5,R5 1400 Alpine Turbo,R5 1400 Alpine Turbo,Black,Kleinwagen,1397,Zuzwil,null,null,3,Vorderradantrieb,12,1983,Benzin,159700,"\"Ab MFK\"",4,Schaltgetriebe manuell,null,""
MERCEDES-BENZ,ML 500,ML 500,ML 500,Black,SUV / Geländewagen,4966,Zuzwil,350 g/km,G,5,Allrad,2,2002,Benzin,118000,"\"Ab MFK\"",5,Automat,14.6,l/100km
Ford,CAPRI,CAPRI RS 2600,RS 2600,Black,Coupé,2632,Zuzwil,null,null,3,Hinterradantrieb,3,1973,Benzin,36100,null,4,Schaltgetriebe,null,""
MERCEDES-BENZ,E 50 AMG,E 50 AMG Avantgarde,E 50 AMG Avantgarde,Black,Limousine,4973,Zuzwil,315 g/km,null,4,Hinterradantrieb,3,1997,Benzin,70700,"\"Ab MFK\"",5,Automat,13.5,l/100km
BMW,M5,M5,M5,Black,Limousine,4999,Zuzwil,357 g/km,G,4,Hinterradantrieb,5,2005,Benzin,21700,"\"Ab MFK\"",5,Automatisiertes Schaltgetriebe,14.8,l/100km
BMW-ALPINA,5 SERIES,B10 4.6 S.Tronic,B10 4.6 S.Tronic,Black,Limousine,4619,Zuzwil,355 g/km,G,4,Hinterradantrieb,10,1998,Benzin,94400,"\"Ab MFK\"",5,Automat,14.9,l/100km
Ford,ESCORT,Escort 2.0i RS Cosworth,Escort 2.0i RS Cosworth,Black,Limousine,1992,Zuzwil,null,null,3,Allrad,4,1994,Benzin,11000,"\"Ab MFK\", \"Tuning\"",5,Schaltgetriebe manuell,null,""
MERCEDES-BENZ,E 55 AMG,E 55 AMG Avantgarde,E 55 AMG Avantgarde,Black,Limousine,5439,Zuzwil,301 g/km,null,4,Hinterradantrieb,2,1998,Benzin,63400,"\"Ab MFK\"",5,Automat,12.6,l/100km
BMW,2002,2002 Turbo,Turbo,Black,Limousine,1990,Zuzwil,null,null,2,Hinterradantrieb,7,1974,Benzin,134000,"\"Ab MFK\"",4,Schaltgetriebe manuell,null,""
BMW,750,750i,750i,Blue,Limousine,5379,Zuzwil,327 g/km,null,4,Hinterradantrieb,3,1998,Benzin,60700,"\"Ab MFK\"",5,Automat sequentiell,14.2,l/100km
Maserati,QUATTROPORTE,Quattroporte 4.2 Sport GT,Quattroporte 4.2 Sport GT,Black,Limousine,4244,Zuzwil,370 g/km,G,4,Hinterradantrieb,10,2006,Benzin,24300,"\"Ab MFK\"",5,Automatisiertes Schaltgetriebe,15.8,l/100km
MERCEDES-BENZ,C 63 AMG,C 63 AMG Avantgarde,C 63 AMG Avantgarde,Black,Kombi,6208,Zuzwil,316 g/km,G,5,Hinterradantrieb,1,2009,Benzin,57400,"\"Ab MFK\"",5,Automat sequentiell,13.6,l/100km
Bentley,BROOKLANDS,Brooklands,Brooklands,Black,Limousine,6761,Zuzwil,null,null,4,Hinterradantrieb,12,1995,Benzin,124900,"\"Ab MFK\"",5,Automat,null,""
Maserati,QUATTROPORTE,Quattroporte 4.2 Sport GT,Quattroporte 4.2 Sport GT,Black,Limousine,4244,Zuzwil,370 g/km,G,4,Hinterradantrieb,4,2008,Benzin,58900,"\"Ab MFK\"",5,Automatisiertes Schaltgetriebe,15.8,l/100km
MERCEDES-BENZ,E 63 AMG,E 63 AMG,E 63 AMG,Black,Limousine,6209,Zuzwil,295 g/km,G,4,Hinterradantrieb,6,2009,Benzin,34500,"\"Ab MFK\", \"Direkt-/Parallelimport\"",5,Automatisiertes Schaltgetriebe,12.6,l/100km
Aston Martin,V8 Vantage,V8 Vantage 4.3,V8 Vantage 4.3,Black,Coupé,4282,Zuzwil,358 g/km,G,2,Hinterradantrieb,2,2007,Benzin,35500,"\"Ab MFK\"",2,Schaltgetriebe manuell,15.0,l/100km
BMW-ALPINA,5 SERIES,B5 BiTurbo 4.4 V8,B5 BiTurbo 4.4 V8,Black,Limousine,4395,Zuzwil,252 g/km,G,4,Hinterradantrieb,6,2012,Benzin,4950,"\"Ab MFK\"",5,Automat sequentiell,10.8,l/100km
Porsche,CAYENNE,Cayenne Turbo,Cayenne Turbo,Black,SUV / Geländewagen,4806,Zuzwil,270 g/km,G,5,Allrad,1,2011,Benzin,39000,"\"Ab MFK\"",5,Automat sequentiell,11.5,l/100km
