make,model,ModelTypeText,model_variant,color,carType,Ccm,city,Co2EmissionText,ConsumptionRatingText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Km,Properties,Seats,TransmissionTypeText,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
Bentley,CONTINENTAL,Continental GT Speed 6.0,Continental GT Speed 6.0,Silver,Coupé,5998,St. Gallen,338 g/km,G,2,Allrad,9,2015,Benzin,5000,"\"Ab MFK\"",4,Automat,14.5,l/100km
Jaguar,"",D-Type XKD525,D-Type XKD525,Purple,Coupé,3442,Zuzwil,null,null,2,Hinterradantrieb,7,1956,Benzin,5300,null,2,Schaltgetriebe,null,""
Chevrolet,CORVETTE,CORVETTE C2,C2,Purple,Coupé,5351,Zuzwil,null,null,2,Hinterradantrieb,6,1967,Benzin,21300,"\"Ab MFK\"",2,Schaltgetriebe,null,""
Renault,R5,R5 1400 Alpine Turbo,R5 1400 Alpine Turbo,Purple,Kleinwagen,1397,Zuzwil,null,null,3,Vorderradantrieb,3,1982,Benzin,77900,"\"Ab MFK\"",4,Schaltgetriebe manuell,null,""
MERCEDES-BENZ,E 50 AMG,E 50 AMG Avantgarde,E 50 AMG Avantgarde,Purple,Limousine,4973,Zuzwil,315 g/km,null,4,Hinterradantrieb,3,1997,Benzin,67400,"\"Ab MFK\"",5,Automat,13.5,l/100km
Lamborghini,DIABLO,Diablo 5.7 SV,Diablo 5.7 SV,Purple,Coupé,5707,Porrentruy,575 g/km,null,2,Hinterradantrieb,1,1999,Benzin,44500,null,2,Schaltgetriebe manuell,24.9,l/100km
MERCEDES-BENZ,S 500,S 500,S 500,Purple,Limousine,4966,Zuzwil,320 g/km,G,4,Hinterradantrieb,10,1999,Benzin,32000,"\"Ab MFK\"",5,Automat,13.4,l/100km
Maserati,COUPÉ GT,Coupé GT,Coupé GT,White,Coupé,4244,Zuzwil,400 g/km,null,2,Hinterradantrieb,7,2002,Benzin,95300,"\"Ab MFK\"",4,Automatik-Getriebe,17.5,l/100km
Aston Martin,V8 Vantage,V8 Vantage 4.7,V8 Vantage 4.7,White,Cabriolet,4735,Zuzwil,312 g/km,G,2,Hinterradantrieb,7,2010,Benzin,9000,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe,13.2,l/100km
MERCEDES-BENZ,ML 400,ML 400 CDI,ML 400 CDI,White,SUV / Geländewagen,3996,Zuzwil,288 g/km,G,5,Allrad,2,2002,Diesel,148300,"\"Ab MFK\"",5,Automat,10.9,l/100km
Audi,RS6,RS6 Avant 4.0 TFSI V8 qu,RS6 Avant 4.0 TFSI V8 qu,Blue,Kombi,3993,Zuzwil,229 g/km,G,5,Allrad,4,2014,Benzin,100,"\"Ab MFK\", \"Tuning\"",5,Automat sequentiell,9.8,l/100km
Triumph,Dolomite,Dolomite Sprint,Sprint,White,Limousine,1997,Zuzwil,null,null,4,Hinterradantrieb,6,1977,Benzin,10800,"\"Ab MFK\"",5,Schaltgetriebe manuell,null,""
Porsche,CAYENNE,Cayenne S,Cayenne S,White,SUV / Geländewagen,4511,Zuzwil,380 g/km,null,5,Allrad,3,2003,Benzin,115000,"\"Ab MFK\"",5,Automatik-Getriebe,15.8,l/100km
Maserati,SPYDER GT,Spyder GT,Spyder GT,White,Cabriolet,4244,Zuzwil,430 g/km,G,2,Hinterradantrieb,5,2003,Benzin,78300,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe,18.6,l/100km
Audi,A4,A4 3.0 V6,A4 3.0 V6,White,Limousine,2976,Zuzwil,233 g/km,null,4,Vorderradantrieb,2,2004,Benzin,95300,"\"Ab MFK\"",5,Automatik-Getriebe,9.7,l/100km
Audi,A8,A8 4.2 quattro,A8 4.2 quattro,White,Limousine,4172,Zuzwil,288 g/km,G,4,Allrad,9,2003,Benzin,101300,"\"Ab MFK\"",5,Automat sequentiell,12.0,l/100km
Renault,ALPINE,ALPINE A310 2700 VA,A310 2700 VA,White,Coupé,2663,Zuzwil,null,null,2,Hinterradantrieb,11,1979,Benzin,11200,"\"Ab MFK\"",0,Schaltgetriebe,null,""
Ferrari,575M,575M,575M,White,Coupé,5748,Zuzwil,499 g/km,G,2,Hinterradantrieb,5,2007,Benzin,26000,"\"Ab MFK\"",2,Schaltgetriebe manuell,21.8,l/100km
MERCEDES-BENZ,SL 600,SL 600,SL 600,White,Cabriolet,5513,Zuzwil,346 g/km,G,2,Hinterradantrieb,1,2003,Benzin,43000,"\"Ab MFK\"",2,Automat,14.4,l/100km
MERCEDES-BENZ,CLK 55 AMG,CLK 55 AMG Avantgarde,CLK 55 AMG Avantgarde,White,Coupé,5439,Zuzwil,304 g/km,G,2,Hinterradantrieb,11,2001,Benzin,47500,"\"Ab MFK\"",4,Automat,12.7,l/100km
Porsche,CAYENNE,Cayenne Turbo,Cayenne Turbo,White,SUV / Geländewagen,4511,Zuzwil,378 g/km,G,5,Allrad,1,2007,Benzin,10,"\"Ab MFK\"",5,Automat sequentiell,15.7,l/100km
Maserati,COUPÉ GT,Coupé GT,Coupé GT,Blue,Coupé,4244,Zuzwil,400 g/km,null,2,Hinterradantrieb,8,2003,Benzin,61400,"\"Ab MFK\"",4,Automatik-Getriebe,17.5,l/100km
BMW,330,330i,330i,White,Limousine,2979,Zuzwil,238 g/km,G,4,Hinterradantrieb,9,2000,Benzin,49700,"\"Ab MFK\"",5,Automat,9.9,l/100km
MERCEDES-BENZ,CL 600,CL 600,CL 600,White,Coupé,5786,Zuzwil,333 g/km,G,2,Hinterradantrieb,11,2000,Benzin,94000,"\"Ab MFK\"",4,Automat,13.9,l/100km
Audi,A8,A8 4.2 quattro,A8 4.2 quattro,White,Limousine,4172,Zuzwil,322 g/km,null,4,Allrad,3,1997,Benzin,94700,null,5,Automat,13.5,l/100km
Porsche,911,911 Turbo S Cabrio,911 Turbo S Cabrio,White,Cabriolet,3800,Zuzwil,270 g/km,G,2,Allrad,7,2011,Benzin,14000,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe,11.5,l/100km
Mclaren,12C,MP4-12C Coupé 3.8 V8,MP4-12C Coupé 3.8 V8,White,Coupé,3798,Zuzwil,279 g/km,G,2,Hinterradantrieb,3,2012,Benzin,23000,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe,12.3,l/100km
Ferrari,458,458 Spider Italia 4.5 V8,458 Spider Italia 4.5 V8,White,Cabriolet,4497,Zuzwil,275 g/km,G,2,Hinterradantrieb,1,2012,Benzin,11700,null,2,Automatisiertes Schaltgetriebe,11.8,l/100km
Audi,RS6,RS6 Avant 5.0 V10 quattro,RS6 Avant 5.0 V10 quattro,White,Kombi,4991,Zuzwil,333 g/km,G,5,Allrad,7,2008,Benzin,120000,"\"Ab MFK\"",5,Automat sequentiell,14.0,l/100km
Ferrari,599,599 GTB,599 GTB,White,Coupé,5999,Zuzwil,490 g/km,G,2,Hinterradantrieb,4,2007,Benzin,22000,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe,21.3,l/100km
MERCEDES-BENZ,S 63 AMG,S 63 AMG L,S 63 AMG L,White,Limousine,6209,Zuzwil,355 g/km,G,4,Hinterradantrieb,4,2008,Benzin,46000,"\"Ab MFK\"",5,Automat sequentiell,14.9,l/100km
Chevrolet,CORVETTE,CORVETTE C1,C1,White,Cabriolet,5351,Zuzwil,null,null,2,Hinterradantrieb,1,1961,Benzin,67000,"\"Ab MFK\"",2,Schaltgetriebe manuell,null,""
Ruf,"",RT 12,RT 12,Other,Coupé,3800,Zuzwil,null,null,2,null,6,2007,Benzin,36000,"\"Ab MFK\"",0,null,null,""
Audi,RS6,RS6 Avant quattro,RS6 Avant quattro,Blue,Kombi,4172,Zuzwil,350 g/km,G,5,Allrad,10,2002,Benzin,81000,"\"Ab MFK\", \"Tuning\"",5,Automat,14.6,l/100km
