ID,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText
1026.0,Toyota,COROLLA,Corolla 1600 GTi TC16,Corolla 1600 GTi TC16,TOYOTA Corolla 1600 GTi TC16,Silver,Coupé,1587,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,12,1986,Benzin,116,schwarz,101400,"\"Ab MFK\"",4,Schaltgetriebe manuell
1027.0,MERCEDES-BENZ,CLK 55 AMG,CLK 55 AMG Avantgarde,CLK 55 AMG Avantgarde,MERCEDES-BENZ CLK 55 AMG Avantgarde,Silver,Coupé,5439,Zuzwil,281 g/km,Occasion,G,11.7 l/100km,2,Hinterradantrieb,6,2000,Benzin,347,schwarz,79500,"\"Ab MFK\"",4,Automat
1028.0,Audi,S7,S7 Sportback 4.0 TFSI V8 quattro,S7 Sportback 4.0 TFSI V8 quattro,AUDI S7 Sportback 4.0 TFSI V8 quattro,Silver,Limousine,3993,Zuzwil,225 g/km,Occasion,G,9.6 l/100km,5,Allrad,3,2014,Benzin,420,schwarz,3600,"\"Ab MFK\", \"Direkt-/Parallelimport\"",4,Automatisiertes Schaltgetriebe
1029.0,Bentley,ARNAGE,Arnage T,Arnage T,BENTLEY Arnage T,Silver,Limousine,6761,Basel,495 g/km,Occasion,G,20.6 l/100km,4,Hinterradantrieb,3,2006,Benzin,457,schwarz,15600,null,5,Automat
103.0,Audi,RS4,RS4 4.2 V8 quattro,RS4 4.2 V8 quattro,AUDI RS4 4.2 V8 quattro,Blue,Limousine,4163,Zuzwil,324 g/km,Occasion,G,13.5 l/100km,4,Allrad,5,2006,Benzin,420,mehrfarbig,108200,"\"Ab MFK\"",5,Schaltgetriebe manuell
1030.0,MERCEDES-BENZ,E 55 AMG,E 55 AMG Avantgarde,E 55 AMG Avantgarde,MERCEDES-BENZ E 55 AMG Avantgarde,Silver,Limousine,5439,Zuzwil,310 g/km,Occasion,G,12.9 l/100km,4,Hinterradantrieb,10,2002,Benzin,476,schwarz,52400,"\"Ab MFK\"",5,Automat sequentiell
1031.0,Porsche,911,911 Turbo,911 Turbo,PORSCHE 911 Turbo,Silver,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Allrad,5,2001,Benzin,420,blau,60800,"\"Ab MFK\"",4,Schaltgetriebe manuell
1032.0,BMW,645,645i,645i,BMW 645i,Silver,Coupé,4398,Zuzwil,283 g/km,Occasion,null,11.7 l/100km,2,Hinterradantrieb,1,2004,Benzin,333,schwarz,79100,"\"Ab MFK\"",4,Automatik-Getriebe
1033.0,Porsche,911,911 GT3,911 GT3,PORSCHE 911 GT3,Silver,Coupé,3600,Zuzwil,320 g/km,Occasion,null,12.9 l/100km,2,Hinterradantrieb,1,2000,Benzin,360,schwarz,77000,"\"Ab MFK\"",4,Schaltgetriebe manuell
1034.0,MERCEDES-BENZ,E 420,E 420 Avantgarde,E 420 Avantgarde,MERCEDES-BENZ E 420 Avantgarde,Silver,Limousine,4196,Zuzwil,326 g/km,Occasion,null,14.3 l/100km,4,Hinterradantrieb,11,1996,Benzin,279,schwarz,87800,"\"Ab MFK\"",5,Automat
1035.0,Porsche,911,911 Carrera 4 S,911 Carrera 4 S,PORSCHE 911 Carrera 4 S,Silver,Coupé,3596,Zuzwil,277 g/km,Occasion,G,11.4 l/100km,2,Allrad,3,2002,Benzin,320,blau,68100,"\"Ab MFK\"",4,Schaltgetriebe manuell
1036.0,Aston Martin,DB9,DB9 Volante,DB9 Volante,ASTON MARTIN DB9 Volante,Silver,Cabriolet,5935,Zuzwil,333 g/km,Occasion,G,14.3 l/100km,2,Hinterradantrieb,5,2013,Benzin,518,schwarz,17000,"\"Ab MFK\"",4,Automat sequentiell
1037.0,Triumph,Dolomite,Dolomite Sprint,Sprint,TRIUMPH Dolomite Sprint,Silver,Limousine,1997,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,7,1977,Benzin,128,schwarz,12800,"\"Ab MFK\"",5,Schaltgetriebe manuell
1038.0,MERCEDES-BENZ,SL 500,SL 500,SL 500,MERCEDES-BENZ SL 500,Silver,Cabriolet,4973,Zuzwil,340 g/km,Occasion,null,14.3 l/100km,2,Hinterradantrieb,6,1996,Benzin,320,beige,74400,"\"Ab MFK\"",0,Automat
1039.0,BMW,M6,M6,M6,BMW M6,Silver,Cabriolet,4999,Zuzwil,366 g/km,Occasion,G,15.2 l/100km,2,Hinterradantrieb,2,2007,Benzin,507,weiss,32000,"\"Ab MFK\"",4,Automatisiertes Schaltgetriebe
104.0,Audi,RS4,RS4 Avant quattro,RS4 Avant quattro,AUDI RS4 Avant quattro,Blue,Kombi,2671,Zuzwil,288 g/km,Occasion,G,12.0 l/100km,5,Allrad,7,2001,Benzin,380,schwarz,57500,"\"Ab MFK\"",5,Schaltgetriebe manuell
1040.0,Porsche,911,911 GT2,911 GT2,PORSCHE 911 GT2,Silver,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Hinterradantrieb,11,2001,Benzin,462,schwarz,49900,null,4,Schaltgetriebe manuell
1041.0,Renault,ALPINE,Alpine A310 V6,Alpine A310 V6,RENAULT Alpine A310 V6,Silver,Coupé,2664,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1983,Benzin,150,beige,69000,"\"Ab MFK\"",4,Schaltgetriebe manuell
1042.0,Toyota,CELICA,CELICA 1600 GT DOHC,1600 GT DOHC,TOYOTA CELICA 1600 GT DOHC,Silver,Coupé,1588,Zuzwil,null,Oldtimer,null,null,2,Hinterradantrieb,10,1981,Benzin,107,beige,79300,"\"Ab MFK\"",5,Schaltgetriebe
1043.0,VW,PHAETON,Phaeton 6.0 W12 4Motion,Phaeton 6.0 W12 4Motion,VW Phaeton 6.0 W12 4Motion,Silver,Limousine,5998,Zuzwil,374 g/km,Occasion,G,15.6 l/100km,4,Allrad,11,2002,Benzin,420,grau,31300,"\"Ab MFK\"",4,Automat sequentiell
1044.0,Ferrari,F430,F430 Scuderia,F430 Scuderia,FERRARI F430 Scuderia,Silver,Coupé,4308,Zuzwil,360 g/km,Occasion,G,15.7 l/100km,2,Hinterradantrieb,3,2008,Benzin,506,schwarz,19999,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe
